"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","Sat Apr 25 06:51:47 UTC 2026","passed","Sat Apr 25 06:51:47 UTC 2026","","test_markers","",""
"","0","test_password_reset","tests.pytest","Sat Apr 25 06:51:47 UTC 2026","passed","Sat Apr 25 06:51:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","2882","User login with correct email and password","LMS SYSTEM","Sat Apr 25 06:51:33 UTC 2026","passed","Sat Apr 25 06:51:36 UTC 2026","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","Sat Apr 25 06:51:47 UTC 2026","passed","Sat Apr 25 06:51:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","1461","Check displaying of dashboard page","LMS SYSTEM","Sat Apr 25 06:51:48 UTC 2026","passed","Sat Apr 25 06:51:49 UTC 2026","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","Sat Apr 25 06:51:47 UTC 2026","passed","Sat Apr 25 06:51:47 UTC 2026","TestUserInterface","test_markers","",""
"","1640","User login with wrong email or password","LMS SYSTEM","Sat Apr 25 06:51:35 UTC 2026","passed","Sat Apr 25 06:51:36 UTC 2026","Authorization","Authentication","",""
"","3940","Check create course","LMS SYSTEM","Sat Apr 25 06:51:41 UTC 2026","passed","Sat Apr 25 06:51:45 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Sat Apr 25 06:51:47 UTC 2026","passed","Sat Apr 25 06:51:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","4198","Check edit course","LMS SYSTEM","Sat Apr 25 06:51:42 UTC 2026","passed","Sat Apr 25 06:51:46 UTC 2026","Courses","Courses","",""
"","1676","Check displaying of empty courses list","LMS SYSTEM","Sat Apr 25 06:51:39 UTC 2026","passed","Sat Apr 25 06:51:41 UTC 2026","Courses","Courses","",""
"","1647","User login with wrong email or password","LMS SYSTEM","Sat Apr 25 06:51:36 UTC 2026","passed","Sat Apr 25 06:51:38 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Sat Apr 25 06:51:47 UTC 2026","passed","Sat Apr 25 06:51:47 UTC 2026","","test_markers","",""
"","1841","Registration with correct email, username and password","LMS SYSTEM","Sat Apr 25 06:51:38 UTC 2026","passed","Sat Apr 25 06:51:40 UTC 2026","Registration","Authentication","",""
"","1593","User login with wrong email or password","LMS SYSTEM","Sat Apr 25 06:51:33 UTC 2026","passed","Sat Apr 25 06:51:34 UTC 2026","Authorization","Authentication","",""
"","1428","Navigation from login page to registration page","LMS SYSTEM","Sat Apr 25 06:51:37 UTC 2026","passed","Sat Apr 25 06:51:38 UTC 2026","Authorization","Authentication","",""
